iter	Passed	Remaining
1398	5160	31724
1399	5163	31719
1400	5166	31712
1401	5170	31711
1402	5174	31706
1403	5177	31701
1404	5181	31698
1405	5187	31707
1406	5191	31706
1407	5195	31701
1408	5200	31706
1409	5203	31702
1410	5207	31699
1411	5210	31693
1412	5217	31706
1413	5220	31700
1414	5223	31693
1415	5228	31696
1416	5232	31695
1417	5235	31688
1418	5238	31681
1419	5244	31685
1420	5247	31683
1421	5251	31676
1422	5254	31669
1423	5259	31675
1424	5263	31672
1425	5266	31668
1426	5271	31668
1427	5276	31673
1428	5279	31667
1429	5282	31660
1430	5287	31662
1431	5291	31659
1432	5295	31655
1433	5298	31648
1434	5302	31649
1435	5306	31646
1436	5309	31639
1437	5312	31632
1438	5317	31633
1439	5322	31636
1440	5325	31631
1441	5328	31623
1442	5332	31624
1443	5336	31618
1444	5339	31611
1445	5343	31607
1446	5348	31613
1447	5352	31610
1448	5356	31607
1449	5360	31610
1450	5365	31611
1451	5368	31606
1452	5374	31616
1453	5379	31617
1454	5382	31610
1455	5385	31604
1456	5391	31609
1457	5394	31607
1458	5398	31601
1459	5401	31594
1460	5406	31600
1461	5410	31596
1462	5413	31589
1463	5416	31583
1464	5420	31580
1465	5424	31576
1466	5427	31570
1467	5430	31564
1468	5436	31569
1469	5439	31563
1470	5442	31557
1471	5445	31550
1472	5450	31552
1473	5454	31549
1474	5457	31542
1475	5461	31538
1476	5466	31545
1477	5470	31539
1478	5473	31534
1479	5478	31540
1480	5483	31544
1481	5487	31539
1482	5491	31537
1483	5495	31534
1484	5498	31528
1485	5501	31521
1486	5507	31529
1487	5511	31527
1488	5514	31522
1489	5518	31516
1490	5523	31523
1491	5527	31518
1492	5530	31511
1493	5534	31512
1494	5538	31509
1495	5541	31501
1496	5544	31494
1497	5550	31500
1498	5554	31497
1499	5557	31491
1500	5560	31484
1501	5565	31487
1502	5568	31482
1503	5571	31475
1504	5574	31467
1505	5579	31468
1506	5583	31464
1507	5586	31457
1508	5589	31450
1509	5594	31452
1510	5597	31448
1511	5600	31441
1512	5603	31432
1513	5607	31429
1514	5611	31427
1515	5614	31421
1516	5617	31413
1517	5621	31409
1518	5625	31409
1519	5628	31402
1520	5631	31395
1521	5635	31389
1522	5639	31391
1523	5643	31386
1524	5646	31379
1525	5649	31374
1526	5655	31383
1527	5659	31377
1528	5662	31369
1529	5666	31371
1530	5670	31366
1531	5674	31364
1532	5677	31360
1533	5681	31356
1534	5684	31349
1535	5688	31344
1536	5692	31346
1537	5697	31346
1538	5700	31341
1539	5704	31335
1540	5709	31339
1541	5712	31336
1542	5716	31329
1543	5719	31322
1544	5724	31326
1545	5727	31322
1546	5731	31318
1547	5735	31314
1548	5741	31322
1549	5744	31316
1550	5747	31310
1551	5752	31314
1552	5756	31310
1553	5759	31304
1554	5762	31297
1555	5768	31301
1556	5771	31298
1557	5775	31292
1558	5778	31285
1559	5782	31286
1560	5786	31282
1561	5789	31277
1562	5793	31274
1563	5798	31275
1564	5801	31269
1565	5804	31262
1566	5809	31263
1567	5814	31268
1568	5818	31264
1569	5821	31260
1570	5825	31258
1571	5829	31254
1572	5833	31251
1573	5838	31254
1574	5842	31252
1575	5845	31246
1576	5849	31240
1577	5854	31246
1578	5858	31242
1579	5861	31236
1580	5864	31229
1581	5869	31234
1582	5873	31231
1583	5876	31225
1584	5879	31217
1585	5885	31220
1586	5888	31216
1587	5891	31209
1588	5894	31202
1589	5900	31207
1590	5903	31203
1591	5906	31197
1592	5910	31190
1593	5915	31194
1594	5918	31189
1595	5921	31182
1596	5925	31178
1597	5930	31180
1598	5933	31176
1599	5937	31169
1600	5941	31168
1601	5945	31168
1602	5949	31163
1603	5952	31156
1604	5956	31157
1605	5960	31155
1606	5964	31149
1607	5967	31142
1608	5972	31147
1609	5978	31155
1610	5981	31150
1611	5986	31148
1612	5989	31145
1613	5993	31138
1614	5996	31133
1615	6000	31133
1616	6004	31128
1617	6007	31124
1618	6012	31125
1619	6018	31131
1620	6021	31125
1621	6024	31119
1622	6028	31116
1623	6033	31118
1624	6036	31112
1625	6039	31105
1626	6044	31106
1627	6048	31105
1628	6051	31099
1629	6055	31092
1630	6060	31100
1631	6064	31095
1632	6067	31089
1633	6070	31081
1634	6075	31082
1635	6078	31077
1636	6081	31070
1637	6085	31066
1638	6090	31070
1639	6094	31065
1640	6097	31058
1641	6100	31051
1642	6105	31055
1643	6108	31050
1644	6112	31045
1645	6117	31046
1646	6121	31045
1647	6124	31040
1648	6128	31035
1649	6133	31039
1650	6137	31034
1651	6141	31033
1652	6146	31036
1653	6149	31031
1654	6153	31025
1655	6156	31018
1656	6161	31025
1657	6165	31021
1658	6169	31016
1659	6174	31019
1660	6178	31018
1661	6181	31013
1662	6184	31005
1663	6187	30998
1664	6192	31001
1665	6196	30996
1666	6199	30989
1667	6202	30981
1668	6207	30984
1669	6210	30979
1670	6214	30973
1671	6217	30966
1672	6221	30966
1673	6225	30963
1674	6228	30956
1675	6231	30949
1676	6237	30955
1677	6240	30950
1678	6243	30943
1679	6246	30935
1680	6251	30940
1681	6255	30934
1682	6258	30926
1683	6261	30920
1684	6266	30925
